🇨🇳｜测试,#genre#




🇨🇳｜玄竹央视,#genre#
CCTV1,http://222.85.207.79:9901/hls/1/index.m3u8
CCTV2,http://222.85.207.79:9901/hls/2/index.m3u8
CCTV3,http://222.85.207.79:9901/hls/3/index.m3u8
CCTV4,http://222.85.207.79:9901/hls/4/index.m3u8
CCTV5,http://222.85.207.79:9901/hls/5/index.m3u8
CCTV6,http://222.85.207.79:9901/hls/6/index.m3u8
CCTV7,http://222.85.207.79:9901/hls/7/index.m3u8
CCTV8,http://222.85.207.79:9901/hls/8/index.m3u8
CCTV9,http://222.85.207.79:9901/hls/9/index.m3u8
CCTV10,http://222.85.207.79:9901/hls/10/index.m3u8
CCTV11,http://222.85.207.79:9901/hls/11/index.m3u8
CCTV12,http://222.85.207.79:9901/hls/12/index.m3u8
CCTV13,http://222.85.207.79:9901/hls/13/index.m3u8
CCTV14,http://222.85.207.79:9901/hls/14/index.m3u8
CCTV15,http://222.85.207.79:9901/hls/15/index.m3u8
CCTV17,http://222.85.207.79:9901/hls/16/index.m3u8
风云音乐,http://222.85.207.79:9901/hls/17/index.m3u8

CCTV1,http://61.182.33.218:8000/hls/1/index.m3u8
CCTV2,http://61.182.33.218:8000/hls/2/index.m3u8
CCTV3,http://61.182.33.218:8000/hls/3/index.m3u8
CCTV4,http://61.182.33.218:8000/hls/4/index.m3u8
CCTV5,http://61.182.33.218:8000/hls/5/index.m3u8
CCTV6,http://61.182.33.218:8000/hls/6/index.m3u8
CCTV7,http://61.182.33.218:8000/hls/7/index.m3u8
CCTV8,http://61.182.33.218:8000/hls/8/index.m3u8
CCTV9,http://61.182.33.218:8000/hls/9/index.m3u8
CCTV10,http://61.182.33.218:8000/hls/10/index.m3u8
CCTV11,http://61.182.33.218:8000/hls/11/index.m3u8
CCTV12,http://61.182.33.218:8000/hls/12/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV13,http://61.182.33.218:8000/hls/13/index.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8?
CCTV14,http://61.182.33.218:8000/hls/14/index.m3u8
CCTV15,http://61.182.33.218:8000/hls/15/index.m3u8

CCTV1,http://111.13.111.242/0000000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3&HlsProfileId=
CCTV2,http://111.13.111.242/0000000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3&HlsProfileId=
CCTV3,http://111.13.111.242/0000000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=3&HlsProfileId=
CCTV4,http://111.13.111.242/0000000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3&HlsProfileId=
CCTV5,http://111.13.111.242/0000000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=3&HlsProfileId=
